STATE/UT,Year,Population,Literates - Males,Literates - Females,Population - Males,Population - Females,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes against Women,Total Crimes In India
RAJASTHAN,2006,56473300,18047157,9654853,29420011,27087177,2006,1085,1553,394,2582,31,7038,3,2519,
SIKKIM,2006,541902,189060,129275,288484,252367,2006,20,7,0,14,0,6,0,2289,
TAMIL NADU,2006,62111390,22809662,17714883,31400909,31004770,2006,457,718,187,1179,852,1248,0,2613,
TRIPURA,2006,3191880,1150707,871392,1642225,1556978,2006,189,62,35,207,0,471,0,2605,
UTTAR PRADESH,2006,166053600,48901413,26817871,87565369,78632552,2006,1314,2551,1798,2096,2714,5204,0,3141,
UTTARAKHAND,2006,8489100,3008875,2096907,4325924,4163425,2006,147,183,80,153,113,358,0,3322,
WEST BENGAL,2006,80221300,27452426,19743975,41465985,38710212,2006,1731,1199,445,1837,63,7414,1,3505,
Andaman and Nicobar Islands,2007,356650,146831,106304,192972,163180,2007,3,9,1,21,2,18,0,3274,
ANDHRA PRADESH,2007,75728400,23444788,16489535,22807968,22414768,2007,1070,1564,613,4406,3316,11335,0,1851,
ARUNACHAL PRADESH,2007,1098328,303281,181504,579941,518027,2007,48,44,0,72,1,20,0,2288,
ASSAM,2007,26638600,8188697,5826657,13777037,12878491,2007,1437,1471,100,789,10,3000,0,2221,
BIHAR,2007,82879910,20644376,10465201,43243795,39754714,2007,1555,1260,1172,853,12,1635,56,2288,
CHANDIGARH,2007,901080,382686,260559,506938,393697,2007,22,46,1,32,11,112,0,2216,
CHHATTISGARH,2007,20834530,6711395,4461754,10474218,10359585,2007,982,181,100,1549,111,824,0,2621,
Dadra and Nagar Haveli,2007,220963,72149,31755,121666,98824,2007,7,6,0,0,0,3,0,2850,
Daman and Diu,2007,158080,70992,36608,92512,65692,2007,1,1,1,0,0,3,0,2740,
DELHI,2007,13851503,5700847,3963917,7607234,6243273,2007,598,1167,138,868,167,1787,0,2606,
GOA,2007,1348900,541032,444530,687248,660420,2007,20,7,2,20,7,14,0,2664,
GUJARAT,2007,50597200,17833273,11994477,26385577,24285440,2007,316,1089,42,822,120,5827,0,2715,
HARYANA,2007,21083900,7480209,4613468,11363953,9780611,2007,488,554,269,417,409,2412,0,3458,
HIMACHAL PRADESH,2007,6077453,2278386,1763235,3087940,2989960,2007,159,150,8,322,33,342,0,5065,
Jammu and Kashmir,2007,10070300,3060628,1746658,5360926,4782774,2007,288,707,9,986,353,176,0,4207,
JHARKHAND,2007,26946070,7646857,4130344,13885037,13060792,2007,855,534,303,342,15,801,0,4285,
KARNATAKA,2007,52734986,17661211,12773751,26898918,25951644,2007,436,390,251,1828,28,2507,0,4399,
KERALA,2007,31839000,12753602,12732086,15468614,16372760,2007,512,177,27,2624,262,3999,0,4132,
